rowType,code,name,parentCode,unit,priceA,priceB,directoryCategory,navigation,branch,operation,patientOrToothCondition,quantityRule,exclusion,priceEvidenceLevel,clinicalEvidenceLevel,hospitalConfirmation,clinicalStatus,sourcePage
"add","013306020040001","根尖手术费—儿童（加收）","013306020040000","根管","150","150","外科","牙髓与根尖治疗（含根管）","","","{}","填写本次实际处理根管数；不得超过本牙参考总数","","A","C","是","仅目录；临床规则未审，不可开单","13"
"add","013306020040011","根尖手术费—复杂根尖手术（加收）","013306020040000","根管","500","500","外科","牙髓与根尖治疗（含根管）","","","{}","填写本次实际处理根管数；不得超过本牙参考总数","","A","C","是","仅目录；临床规则未审，不可开单","13"
"add","013306020050001","牙拔除费—儿童（加收）","013306020050000","牙","24","24","外科","拔牙与拔牙创处理","","","{}","按牙及实际实施数量","013306020200000","A","C","是","仅目录；临床规则未审，不可开单","14"
"add","013306020050011","牙拔除费—复杂牙拔除（加收）","013306020050000","牙","40","40","外科","拔牙与拔牙创处理","","","{}","按牙及实际实施数量","013306020200000","A","C","是","仅目录；临床规则未审，不可开单","14"
"add","013306020060001","阻生牙拔除费—儿童（加收）","013306020060000","牙","63","63","外科","拔牙与拔牙创处理","","","{}","按牙及实际实施数量","013306020200000 / 013306020100000","A","C","是","仅目录；临床规则未审，不可开单","14"
"add","013306020060011","阻生牙拔除费—复杂阻生牙拔除（加收）","013306020060000","牙","210","210","外科","拔牙与拔牙创处理","","","{}","按牙及实际实施数量","013306020200000 / 013306020100000","A","C","是","仅目录；临床规则未审，不可开单","14"
"extend","013306020060100","阻生牙拔除费—多生牙拔除（扩展）","013306020060000","牙","210","210","外科","拔牙与拔牙创处理","","","{}","按牙及实际实施数量","013306020200000 / 013306020100000","A","C","是","仅目录；临床规则未审，不可开单","14"
"add","013306020070001","阻生牙开窗助萌费—儿童（加收）","013306020070000","牙","30","30","外科","拔牙与拔牙创处理 / 正畸治疗","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","14"
"add","013306020070011","阻生牙开窗助萌费—骨阻生开窗助萌（加收）","013306020070000","牙","100","100","外科","拔牙与拔牙创处理 / 正畸治疗","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","14"
"add","013306020080001","阻生牙牙冠切除费—儿童（加收）","013306020080000","牙","78","78","外科","拔牙与拔牙创处理","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","14"
